"avg_price","category_nodes","yt_followers","sales_count","@timestamp","ig_followers","rank_num","sales_total","rank_date","sales_inc","tw_followers","fb_followers","pin_followers","tt_followers","category_id","last_rank_num","country_code","products_total","shop_id","ads_7_count","shop_domain","ads_30_count"
"22.26","[12513]","0","1061","2022-11-04T15:05:01.373Z","0","379","1754","2022-10-31","1061","0","0","0","0","0","0","GB","174","7563966","0","royaura.co.uk","0"
"766.73","[]","0","1059","2022-11-04T15:04:59.283Z","0","380","1233","2022-10-31","1059","0","0","0","0","0","0","IN","55","7668855","0","denna.store","0"
"33.87","[12426,6546,17447]","0","1058","2022-11-04T15:05:01.860Z","0","381","1983","2022-10-31","1058","0","0","0","0","0","0","US","260","7227227","0","confettifinds.com","0"
"23.67","[14439]","0","1053","2022-11-04T15:04:59.962Z","0","382","1113","2022-10-31","1053","0","0","0","0","0","0","US","30","7613966","0","www.woooups.com","0"
"262.08","[]","0","1174","2022-11-04T15:05:00.205Z","0","383","1493","2022-10-31","1046","0","0","0","0","0","0","MA","26","7046463","0","outluxestore.com","0"
"1858.38","[14564]","0","1051","2022-11-04T15:05:00.757Z","0","384","1139","2022-10-31","1043","0","0","0","0","0","0","IN","16","7309535","0","www.gizmorekart.com","6"
"227.71","[]","0","1041","2022-11-04T15:04:59.532Z","34901","385","1127","2022-10-31","1041","0","0","0","0","0","0","US","14","7655306","0","espres.so","19"
"396.15","[]","0","1040","2022-11-04T15:05:02.911Z","30027","386","1096","2022-10-31","1040","0","0","0","0","0","0","PH","13","7404344","0","zerostudioph.com","3"
"1979.6","[]","0","1034","2022-11-04T15:05:01.302Z","0","387","1076","2022-10-31","1034","0","0","0","0","0","0","SE","10","7452944","0","bagin.se","0"
"672.56","[]","0","1153","2022-11-04T15:04:59.936Z","0","388","1775","2022-10-31","1028","0","0","0","0","0","0","CA","64","7249108","0","xerxsoftware.com","0"
"63.9","[11064,11505,11582]","0","1102","2022-11-04T15:04:59.753Z","0","389","1412","2022-10-31","1027","0","0","0","0","0","0","NL","134","6961154","0","tuftingb2b.com","0"
"45.24","[]","0","1027","2022-11-04T15:04:59.962Z","0","390","1738","2022-10-31","1027","0","0","0","0","0","0","US","192","7590025","0","babecaveatblushandbloom.com","0"
"30.16","[]","0","1017","2022-11-04T15:05:02.448Z","0","391","1344","2022-10-31","1017","0","0","0","0","0","0","ES","53","7148664","0","nametheshop.com","0"
"39.67","[]","0","1344","2022-11-04T15:05:00.812Z","964","392","2117","2022-10-31","1016","0","0","0","0","0","0","US","136","7075188","1","coex3d.com","2"
"35.71","[]","0","1016","2022-11-04T15:04:59.531Z","86","393","2342","2022-10-31","1016","0","0","0","0","0","0","US","535","7608232","0","aloellc.com","0"
"2224.34","[]","0","1015","2022-11-04T15:05:02.446Z","0","394","1391","2022-10-31","1015","0","0","0","0","0","0","BD","83","6963111","0","kibanshoe.com","0"
"13.02","[]","0","1011","2022-11-04T15:05:00.206Z","0","395","1944","2022-10-31","1011","0","0","0","0","0","0","FR","91","7461665","0","latelierdescreas.com","0"
"45.03","[12513,12522,12531]","0","1071","2022-11-04T15:05:01.897Z","0","396","1500","2022-10-31","997","0","0","0","0","0","0","EC","63","7182918","0","lolajeans.com.ec","0"
"142.69","[]","0","1441","2022-11-04T15:04:59.753Z","0","397","2284","2022-10-31","996","0","0","0","0","0","964","TR","63","7169704","0","glenz.com.tr","0"
"21.6","[]","0","995","2022-11-04T15:05:01.332Z","0","398","2072","2022-10-31","995","0","0","0","0","0","0","US","327","7587631","0","beautyfaves.com","0"
"21.19","[]","0","3397","2022-11-04T15:04:59.559Z","48071","399","5905","2022-10-31","991","0","0","0","0","0","159","US","21","7108492","0","boostmastermerch.com","0"
"1735.35","[]","0","989","2022-11-04T15:05:02.439Z","0","400","1375","2022-10-31","989","0","0","0","0","0","0","IN","156","7765642","0","rainandrainbow.in","0"
"40.55","[]","0","986","2022-11-04T15:05:01.896Z","0","401","1973","2022-10-31","986","0","0","0","0","0","0","US","189","7829037","0","mywestleys.com","0"
"16.99","[]","0","983","2022-11-04T15:05:01.895Z","0","402","1931","2022-10-31","983","0","0","0","0","0","0","GB","265","7566321","0","www.vapeluxe.co.uk","0"
"340.7","[]","0","982","2022-11-04T15:05:02.448Z","0","403","1559","2022-10-31","982","0","0","0","0","0","0","US","225","7329487","0","ebikesandescooters.com","0"
"674.11","[]","0","979","2022-11-04T15:05:00.756Z","0","404","1195","2022-10-31","979","0","0","0","0","0","0","AU","142","7406883","0","www.thatsportswebsite.com","0"
"220.55","[]","0","1649","2022-11-04T15:05:02.441Z","0","405","4047","2022-10-31","971","0","0","0","0","0","689","DE","782","7163025","0","www.citykuechen24.de","0"
"32.58","[]","0","969","2022-11-04T15:05:00.757Z","0","406","1554","2022-10-31","969","0","0","0","0","0","0","US","151","7767764","0","www.lazilionbrands.com","0"
